traceID,home-timeline-service,media-service,nginx-web-server,post-storage-service,social-graph-service,text-service,unique-id-service,url-shorten-service,user-mention-service,user-service,user-timeline-service,compose-post-service
000c3278cc7c617e,1953.0,10.0,7370.0,499.0,245.0,-67.0,13.0,690.0,1100.0,13.0,563.0,
000cde0cb8fdc1de,1060.0,9.0,1044.0,1888.0,579.0,325.0,15.0,901.0,564.0,7.0,950.0,1063.0
00172b223f0d14e8,4860.0,14.0,2628.0,1523.0,225.0,,27.0,14492.0,,,1369.0,77476.0
001bbd4b02477e3f,2909.0,14.0,1526.0,715.0,1035.0,16.0,24.0,1042.0,1929.0,25.0,2002.0,5088.0
001f781e10affb15,1334.0,187.0,13100.0,3717.0,750.0,3062.0,43.0,2943.0,2007.0,24.0,7624.0,5537.0
0021ef4107afa07f,731.0,10.0,1080.0,804.0,1487.0,243.0,21.0,791.0,310.0,8.0,1479.0,5065.0
0023814c21e8359d,1348.0,11.0,1150.0,424.0,254.0,192.0,23.0,500.0,489.0,7.0,628.0,1059.0
00378830db64b415,3134.0,12.0,9651.0,1350.0,246.0,21.0,27.0,915.0,1298.0,18.0,2628.0,2127.0
004367d5a8ff38de,1801.0,22.0,12851.0,1719.0,2072.0,1595.0,43.0,5122.0,1682.0,26.0,1488.0,3561.0
00520804d7570166,3926.0,12.0,1381.0,1088.0,1612.0,-628.0,21.0,1520.0,2216.0,12.0,1541.0,8183.0
0053a471b1811541,522.0,10.0,7444.0,531.0,220.0,360.0,18.0,822.0,376.0,16.0,3064.0,3303.0
0058ba7beb82a1ba,785.0,9.0,40768.0,462.0,155.0,198.0,16.0,1660.0,354.0,16.0,1284.0,3906.0
0059e96c2240cd0c,650.0,11.0,8171.0,773.0,217.0,88.0,19.0,643.0,592.0,7.0,46209.0,1391.0
0063641b102338ae,961.0,12.0,3021.0,422.0,289.0,948.0,26.0,1731.0,1181.0,11.0,1438.0,3824.0
0067db94a65999f7,1537.0,22.0,36988.0,901.0,694.0,352.0,38.0,1351.0,834.0,18.0,2531.0,47758.0
00761acab5c5dc49,1219.0,9.0,1926.0,957.0,383.0,952.0,23.0,2486.0,1337.0,10.0,1769.0,4780.0
007bf0054b5ef253,1410.0,11.0,1324.0,359.0,3704.0,431.0,14.0,1379.0,1236.0,5.0,755.0,2018.0
007c6ed8c976f51f,1222.0,8.0,1664.0,522.0,1026.0,344.0,19.0,1806.0,341.0,11.0,1079.0,23769.0
008625657d2bee4f,666.0,24.0,2132.0,969.0,548.0,147.0,22.0,982.0,635.0,11.0,2525.0,3796.0
008abe5aaa1c8a76,3520.0,8.0,44656.0,656.0,1647.0,569.0,17.0,736.0,2004.0,17.0,1507.0,2453.0
0090be1537b97ba5,1442.0,9.0,1590.0,534.0,203.0,22.0,29.0,899.0,673.0,16.0,2301.0,4100.0
009c4278628aee8c,1602.0,6.0,2444.0,939.0,372.0,388.0,21.0,3212.0,1007.0,16.0,10018.0,6891.0
